project,type,commit,variant,spec,location,inspected,in_library
gozer,eMOP-FineMOP,a8087ee62b4a0364f5947b0bf0c0afc8643229a6,HyRTS-S_ps1c,ListIterator_hasNextPrevious,com.walmartlabs.x12.common.segment.parser.N1PartyIdentificationParser.handleN1Loop(N1PartyIdentificationParser.java:70).,FALSE +VE,false
gozer,eMOP-FineMOP,a8087ee62b4a0364f5947b0bf0c0afc8643229a6,METHODS_ps1c,ListIterator_hasNextPrevious,com.walmartlabs.x12.common.segment.parser.N1PartyIdentificationParser.handleN1Loop(N1PartyIdentificationParser.java:70).,FALSE +VE,false
gozer,eMOP-FineMOP,a8087ee62b4a0364f5947b0bf0c0afc8643229a6,METHODS-S_ps1c,ListIterator_hasNextPrevious,com.walmartlabs.x12.common.segment.parser.N1PartyIdentificationParser.handleN1Loop(N1PartyIdentificationParser.java:70).,FALSE +VE,false
gozer,eMOP-FineMOP,a8087ee62b4a0364f5947b0bf0c0afc8643229a6,METHODS-F_ps1c,ListIterator_hasNextPrevious,com.walmartlabs.x12.common.segment.parser.N1PartyIdentificationParser.handleN1Loop(N1PartyIdentificationParser.java:70).,FALSE +VE,false
gozer,eMOP-FineMOP,a8087ee62b4a0364f5947b0bf0c0afc8643229a6,METHODS-FA_ps1c,ListIterator_hasNextPrevious,com.walmartlabs.x12.common.segment.parser.N1PartyIdentificationParser.handleN1Loop(N1PartyIdentificationParser.java:70).,FALSE +VE,false
gozer,eMOP-FineMOP,a8087ee62b4a0364f5947b0bf0c0afc8643229a6,FINE_ps3cl,ListIterator_hasNextPrevious,com.walmartlabs.x12.common.segment.parser.N1PartyIdentificationParser.handleN1Loop(N1PartyIdentificationParser.java:70).,FALSE +VE,false
gozer,eMOP-FineMOP,a8087ee62b4a0364f5947b0bf0c0afc8643229a6,HyRTS_ps3cl,ListIterator_hasNextPrevious,com.walmartlabs.x12.common.segment.parser.N1PartyIdentificationParser.handleN1Loop(N1PartyIdentificationParser.java:70).,FALSE +VE,false
gozer,eMOP-FineMOP,a8087ee62b4a0364f5947b0bf0c0afc8643229a6,HyRTS-S_ps3cl,ListIterator_hasNextPrevious,com.walmartlabs.x12.common.segment.parser.N1PartyIdentificationParser.handleN1Loop(N1PartyIdentificationParser.java:70).,FALSE +VE,false
gozer,eMOP-FineMOP,a8087ee62b4a0364f5947b0bf0c0afc8643229a6,METHODS_ps3cl,ListIterator_hasNextPrevious,com.walmartlabs.x12.common.segment.parser.N1PartyIdentificationParser.handleN1Loop(N1PartyIdentificationParser.java:70).,FALSE +VE,false
gozer,eMOP-FineMOP,a8087ee62b4a0364f5947b0bf0c0afc8643229a6,METHODS-S_ps3cl,ListIterator_hasNextPrevious,com.walmartlabs.x12.common.segment.parser.N1PartyIdentificationParser.handleN1Loop(N1PartyIdentificationParser.java:70).,FALSE +VE,false
