SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\STARTS|,|STARTS\VMS|,|VMS\FINE_STARTS|,|FINE_STARTS\VMS|,|VMS\EKSTAZI|,|EKSTAZI\VMS|,|VMS\FINE_EKSTAZI|,|FINE_EKSTAZI\VMS|,|VMS\CLASSES_ps3cl|,|CLASSES_ps3cl\VMS|,|VMS\FINE_ps3cl|,|FINE_ps3cl\VMS|,|VMS\HyRTS_ps3cl|,|HyRTS_ps3cl\VMS|,|VMS\HyRTS-S_ps3cl|,|HyRTS-S_ps3cl\VMS|,|VMS\METHODS_ps3cl|,|METHODS_ps3cl\VMS|,|VMS\METHODS-F_ps3cl|,|METHODS-F_ps3cl\VMS|,|VMS\METHODS-FA_ps3cl|,|METHODS-FA_ps3cl\VMS|,|VMS\METHODS-S_ps3cl|,|METHODS-S_ps3cl\VMS|,|VMS\STARTS+CLASSES_ps3cl|,|STARTS+CLASSES_ps3cl\VMS|,|VMS\FINE_STARTS+CLASSES_ps3cl|,|FINE_STARTS+CLASSES_ps3cl\VMS|,|VMS\EKSTAZI+CLASSES_ps3cl|,|EKSTAZI+CLASSES_ps3cl\VMS|,|VMS\FINE_EKSTAZI+CLASSES_ps3cl|,|FINE_EKSTAZI+CLASSES_ps3cl\VMS|,|VMS\STARTS+HyRTS-S_ps3cl|,|STARTS+HyRTS-S_ps3cl\VMS|,|VMS\FINE_STARTS+HyRTS-S_ps3cl|,|FINE_STARTS+HyRTS-S_ps3cl\VMS|,|VMS\EKSTAZI+HyRTS-S_ps3cl|,|EKSTAZI+HyRTS-S_ps3cl\VMS|,|VMS\FINE_EKSTAZI+HyRTS-S_ps3cl|,|FINE_EKSTAZI+HyRTS-S_ps3cl\VMS|
4a2df35c,8,0,0,0,0,0,8,0,0,0,0,0,5,0,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91015e23,9,1,0,1,0,0,7,1,0,1,0,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
ca9d3815,8,0,0,0,0,0,8,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b78a29ae,8,0,0,0,0,0,9,0,0,0,0,0,5,0,6,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87a81d20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170c5c6d,8,0,0,0,0,0,9,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259ea0d6,8,1,1,1,0,1,9,1,0,1,0,1,5,0,5,1,0,1,0,1,3,1,0,1,0,1,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
403ce329,9,0,0,0,0,0,6,0,0,0,0,0,6,0,5,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a118e796,8,1,1,1,0,1,2,1,0,1,0,1,8,1,8,1,8,1,9,1,8,1,8,1,9,1,9,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1c0d7b81,8,0,0,0,0,0,6,0,0,0,0,0,9,0,9,0,8,0,9,0,9,0,8,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,157,12,2,5,0,3,91,12,0,12,0,3,75,2,73,3,35,3,25,3,39,3,23,3,25,3,27,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0
arith_mean,7.85,2.00,1.00,1.00,0,1.00,6.50,2.00,0,2.00,0,1.00,5.77,1.00,5.62,1.00,4.38,1.00,8.33,1.00,4.33,1.00,7.67,1.00,8.33,1.00,6.75,2.00,0,2.00,0,2.00,0,2.00,0,2.00,0,2.00,0,2.00,0,2.00,0
geo_mean,7.82,1.38,1.00,1.00,0,1.00,5.93,1.38,0,1.38,0,1.00,5.61,1.00,5.44,1.00,3.66,1.00,8.28,1.00,3.63,1.00,7.65,1.00,8.28,1.00,5.80,1.38,0,1.38,0,1.38,0,1.38,0,1.38,0,1.38,0,1.38,0,1.38,0
